"state","population","positive","negative","pending","total","delta","tests_per_million","pct_positive"
"Arizona",7278717,6,51,27,84,0.5,11.5404953922511,0.105263157894737
"Arkansas",3017804,0,12,3,15,0.25,4.97050172907187,0
"Colorado",5758736,18,NA,0,NA,NA,NA,NA
"Delaware",973764,0,17,3,20,0.111111111111111,20.538857464437,0
"District of Columbia",705749,4,20,15,39,0.695652173913043,55.2604396180512,0.166666666666667
"Florida",21477737,28,222,155,405,0.478102189781022,18.8567352323944,0.112
"Idaho",1787065,0,51,0,51,0.24390243902439,28.5384135439953,0
"Illinois",12671821,263,63,326,652,1.48854961832061,51.4527470045544,0.806748466257669
"Iowa",3155070,13,46,27,86,0.686274509803922,27.2577153597226,0.220338983050847
"Maryland",6045680,9,94,0,103,0.32051282051282,17.0369586216935,0.087378640776699
"Michigan",9986857,2,57,18,77,0.222222222222222,7.7101334283649,0.0338983050847458
"Minnesota",5639632,3,132,0,135,-0.176829268292683,23.9377321073432,0.0222222222222222
"Montana",1068778,0,21,0,21,0.4,19.6486080364678,0
"Nebraska",1934408,3,47,16,66,0.375,34.1189655956758,0.06
"Nevada",3080156,0,14,0,14,0,4.54522433279353,0
"New Hampshire",1359711,12,53,3,68,0,50.0106272582924,0.184615384615385
"New Jersey",8882190,15,44,20,79,0.316666666666667,8.89420289365573,0.254237288135593
"New Mexico",2096829,0,87,0,87,0.526315789473684,41.4912231755665,0
"Ohio",11689100,3,14,15,32,0.684210526315789,2.73759314232918,0.176470588235294
"Oregon",4217737,15,213,67,295,0.277056277056277,69.9427204683459,0.0657894736842105
"South Carolina",5148714,9,32,0,41,0.32258064516129,7.96315351755798,0.219512195121951
"South Dakota",884659,5,13,2,20,0.818181818181818,22.6075810001368,0.277777777777778
"Vermont",623989,1,40,0,41,0.171428571428571,65.7062864890246,0.024390243902439
"Virginia",8535519,8,53,0,61,0.22,7.14660701944428,0.131147540983607
"Wisconsin",5822434,43,2,0,45,0.184210526315789,7.72872650853578,0.955555555555556
"Total",133842856,460,1398,697,2537,0.0940060370849505,18.9550647365146,0.247578040904198
