"state","population","positive","negative","pending","total","delta","tests_per_million","pct_positive","date"
"Arizona",7278717,5,44,7,56,0.0980392156862746,7.69366359483409,0.102040816326531,2020-03-08
"Arkansas",3017804,0,6,0,6,0,1.98820069162875,0,2020-03-08
"Colorado",5758736,8,247,0,255,1.05645161290323,44.2805504541274,0.0313725490196078,2020-03-08
"District of Columbia",705749,1,14,3,18,1,25.5048182852544,0.0666666666666667,2020-03-08
"Florida",21477737,18,118,108,244,1.12173913043478,11.3606009795166,0.132352941176471,2020-03-08
"Idaho",1787065,0,27,0,27,0,15.1085718762328,0,2020-03-08
"Illinois",12671821,6,191,44,241,0.0954545454545455,19.0185767302111,0.0304568527918782,2020-03-08
"Maryland",6045680,3,52,0,55,0.341463414634146,9.09740508925382,0.0545454545454545,2020-03-08
"Michigan",9986857,0,36,11,47,0.740740740740741,4.70618533939156,0,2020-03-08
"Minnesota",5639632,2,78,80,160,0.63265306122449,28.3706454605549,0.025,2020-03-08
"Nebraska",1934408,3,30,17,50,1.27272727272727,25.8477012088453,0.0909090909090909,2020-03-08
"New Hampshire",1359711,52,2,2,56,0.866666666666667,41.1852224480055,0.962962962962963,2020-03-08
"Ohio",11689100,0,10,4,14,0.4,1.19769699976902,0,2020-03-08
"Oregon",4217737,14,100,53,167,0.757894736842105,39.5946926041145,0.12280701754386,2020-03-08
"South Dakota",884659,0,5,0,5,0,5.65189525003419,0,2020-03-08
"Wisconsin",5822434,1,31,12,44,0,7.55697703056831,0.03125,2020-03-08
"Total",100277847,113,991,341,1445,0.1245136,14.4099623519041,0.102355072463768,2020-03-08
"Arizona",7278717,3,33,15,51,0.416666666666667,7.00672934529533,0.0833333333333333,2020-03-06
"Arkansas",3017804,0,6,0,6,0,1.98820069162875,0,2020-03-06
"Colorado",5758736,2,92,30,124,1.13793103448276,21.5325029659286,0.0212765957446809,2020-03-06
"District of Columbia",705749,0,8,1,9,0.125,12.7524091426272,0,2020-03-06
"Florida",21477737,9,55,51,115,0.0550458715596329,5.3543816091984,0.140625,2020-03-06
"Idaho",1787065,0,27,0,27,0.8,15.1085718762328,0,2020-03-06
"Illinois",12671821,5,180,35,220,0.116751269035533,17.36135635123,0.027027027027027,2020-03-06
"Maryland",6045680,3,26,12,41,0.32258064516129,6.78170197562557,0.103448275862069,2020-03-06
"Michigan",9986857,0,18,9,27,2.375,2.703553280076,0,2020-03-06
"Minnesota",5639632,1,48,49,98,2.0625,17.3770203445899,0.0204081632653061,2020-03-06
"Nebraska",1934408,0,17,5,22,0.375,11.3729885318919,0,2020-03-06
"New Hampshire",1359711,28,2,0,30,0.363636363636364,22.0635120257172,0.933333333333333,2020-03-06
"New York",19453561,33,92,236,361,2.68367346938776,18.5570138032826,0.264,2020-03-06
"Ohio",11689100,0,8,2,10,0.25,0.855497856977868,0,2020-03-06
"Oregon",4217737,3,64,28,95,0.557377049180328,22.5239269304843,0.0447761194029851,2020-03-06
"South Dakota",884659,0,5,0,5,Inf,5.65189525003419,0,2020-03-06
"Wisconsin",5822434,1,31,12,44,0.692307692307692,7.55697703056831,0.03125,2020-03-06
"Total",119731408,88,712,485,1285,0.7578659,10.7323552062463,0.11,2020-03-06
"Arizona",7278717,2,28,6,36,NA,4.94592659667906,0.0666666666666667,2020-03-05
"Arkansas",3017804,0,4,2,6,NA,1.98820069162875,0,2020-03-05
"Colorado",5758736,0,37,21,58,NA,10.0716546130957,0,2020-03-05
"District of Columbia",705749,0,6,2,8,NA,11.3354747934464,0,2020-03-05
"Florida",21477737,9,31,69,109,NA,5.07502256871848,0.225,2020-03-05
"Idaho",1787065,0,15,0,15,NA,8.39365104235157,0,2020-03-05
"Illinois",12671821,5,165,27,197,NA,15.5463054599651,0.0294117647058824,2020-03-05
"Maryland",6045680,0,17,14,31,NA,5.12762832303397,0,2020-03-05
